"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления item","18","Удаление item","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка получения несуществующего item","23","Получение несуществующего item","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка получения всех постов","580","Получение всех постов","tests","Wed May 06 17:04:41 UTC 2026","passed","Wed May 06 17:04:42 UTC 2026","TestPosts","test_posts","",""
"Проверка обновления item","16","Обновление item","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка получения комментариев для конкретного поста","593","Получение комментариев для поста","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:41 UTC 2026","TestComments","test_comments","",""
"Проверка доступности API","7","Проверка корневого эндпоинта","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка получения списка всех пользователей","13","Получение списка всех пользователей","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка создания нового item","7","Создание нового item","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка получения пустого списка items","8","Получение списка всех items","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка получения конкретного пользователя","576","Получение пользователя по ID","tests","Wed May 06 17:04:45 UTC 2026","passed","Wed May 06 17:04:46 UTC 2026","TestUsers","test_posts","",""
"Проверка получения всех пользователей","562","Получение всех пользователей","tests","Wed May 06 17:04:45 UTC 2026","passed","Wed May 06 17:04:45 UTC 2026","TestUsers","test_posts","",""
"Проверка удаления поста","673","Удаление поста","tests","Wed May 06 17:04:44 UTC 2026","passed","Wed May 06 17:04:45 UTC 2026","TestPosts","test_posts","",""
"Проверка получения конкретного поста","587","Получение поста по ID","tests","Wed May 06 17:04:42 UTC 2026","passed","Wed May 06 17:04:42 UTC 2026","TestPosts","test_posts","",""
"Проверка получения item по ID","22","Получение item по ID","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка создания нового пользователя","10","Создание пользователя","tests","Wed May 06 17:04:40 UTC 2026","passed","Wed May 06 17:04:40 UTC 2026","TestAPI","test_api","",""
"Проверка создания нового поста","685","Создание нового поста","tests","Wed May 06 17:04:42 UTC 2026","passed","Wed May 06 17:04:43 UTC 2026","TestPosts","test_posts","",""
"Проверка обновления существующего поста","914","Обновление поста","tests","Wed May 06 17:04:43 UTC 2026","passed","Wed May 06 17:04:44 UTC 2026","TestPosts","test_posts","",""
